#,Topic,Trainer
1,Kickoff meeting,"Łukasz Jankowski [:material-linkedin:](https://www.linkedin.com/in/lukasz-jan-jankowski),<br>Damian Krawczyk [:material-web:](https://www.damiankrawczyk.com)"
2,Cyber awareness,Sławomir Staciwa [:material-linkedin:](https://www.linkedin.com/in/sstaciwa)
3,Data Protection - Compliance,Dagmara Adamczyk [:material-linkedin:](https://www.linkedin.com/in/adamczykdagmara/)
4,IT Risk Management - Basics,"Askaniusz Ferens [:material-linkedin:](https://www.linkedin.com/in/asek-ferens),<br>Anna Maszybrocka [:material-linkedin:](https://www.linkedin.com/in/anna-maszybrocka)"
5,IT Risk Management - Governance,Justyna Chochla-Wojdyła [:material-linkedin:](https://www.linkedin.com/in/justyna-chochla)
6,Risk Management - Operational Risk Management,Katarzyna Kowalski [:material-linkedin:](https://www.linkedin.com/in/katarzyna-kowalski)
7,Risk Management - Compliance,Kamila Juszczyk [:material-linkedin:](https://www.linkedin.com/in/kamila-juszczyk)
8,Risk Management - Audits,Karolina Sieruga [:material-linkedin:](https://www.linkedin.com/in/karolina-sieruga)
9,Identity and Access Management,Paweł Matyszok [:material-linkedin:](https://www.linkedin.com/in/pawelmatyszok)
10,Password vaults,Mateusz Kozieł [:material-linkedin:](https://www.linkedin.com/in/mateusz-koziel)
11,Cryptography - Basics,Jacek Kocyba [:material-linkedin:](https://www.linkedin.com/in/jacek-kocyba-49a5a2a0)
12,Shadow IT,Jacek Kocyba [:material-linkedin:](https://www.linkedin.com/in/jacek-kocyba-49a5a2a0)
13,Vulnerability Assessment,"Łukasz Jankowski [:material-linkedin:](https://www.linkedin.com/in/lukasz-jan-jankowski),<br>Damian Krawczyk [:material-web:](https://www.damiankrawczyk.com)"
14,Vulnerability Assessment for containers,"Krzysztof Kozak [:material-linkedin:](https://www.linkedin.com/in/krzysztof-kozak-IT/),<br>Łukasz Galos [:material-linkedin:](https://www.linkedin.com/in/lukasz-galos/)"
15,Secure Configuration Monitoring,Maciej Wróbel [:material-linkedin:](https://www.linkedin.com/in/maciejwrobel)
16,Secure Software Development Lifecycle Management,Maciej Wróbel [:material-linkedin:](https://www.linkedin.com/in/maciejwrobel)
17,Introduction to Offensive tooling,Michał Kucharski [:material-web:](https://kucharskov.pl/)
18,OSINT in the service of Offensive Security,Maciej Pypeć [:material-linkedin:](https://linkedin.com/in/maciej-pypec)
19,Offensive Cybersecurity - Red Teaming theory,Jakub Plusczok [:material-linkedin:](https://www.linkedin.com/in/jakubplusczok)
20,Offensive Cybersecurity - Red Teaming workshop,Jakub Plusczok [:material-linkedin:](https://www.linkedin.com/in/jakubplusczok)
21,Offensive Cybersecurity - DDOS,Gerard Żmuda [:material-linkedin:](https://linkedin.com/in/gerard-zmuda)
22,Defensive Cybersecurity - Threat Hunting,Jakub Szumera [:material-linkedin:](https://www.linkedin.com/in/jakubsz)
23,Defensive Cybersecurity - SIEM + SOAR + Proxy,Daniel Jeczeń [:material-linkedin:](https://linkedin.com/in/daniel-jeczen)
24,Defensive Cybersecurity - Malware Analysis,Mirosław Koczenasz
25,Building ETL for Security data,Michał Kocur [:material-linkedin:](https://www.linkedin.com/in/michal-kocur)
26,Security data processing automation,"Piotr Furmaniak [:material-linkedin:](https://www.linkedin.com/in/piotr-furmaniak-4b2a07224),<br>Adam Majstrak [:material-web:](https://codehub.com.pl/)"
27,Introduction to Azure Public Cloud,Rafał Nowakowski [:material-linkedin:](https://linkedin.com/in/rafal-n)
